#Nodes:7393
#Edges:25569
#FromNodeId	ToNodeId
179	1
1	179
472	1
1	472
953	1
1	953
1038	1
1	1038
1882	1
1	1882
1969	1
1	1969
3488	1
1	3488
3937	1
1	3937
5301	1
1	5301
5995	1
1	5995
6135	1
1	6135
6337	1
1	6337
6446	1
1	6446
6932	1
1	6932
225	2
2	225
271	2
2	271
366	2
2	366
505	2
2	505
655	2
2	655
656	2
2	656
764	2
2	764
874	2
2	874
938	2
2	938
961	2
2	961
972	2
2	972
1019	2
2	1019
1184	2
2	1184
1291	2
2	1291
1339	2
2	1339
1403	2
2	1403
1466	2
2	1466
1629	2
2	1629
1696	2
2	1696
1728	2
2	1728
1756	2
2	1756
2021	2
2	2021
2269	2
2	2269
2450	2
2	2450
2592	2
2	2592
3758	2
2	3758
3905	2
2	3905
4285	2
2	4285
4559	2
2	4559
4563	2
2	4563
4684	2
2	4684
4762	2
2	4762
4835	2
2	4835
5137	2
2	5137
5211	2
2	5211
5263	2
2	5263
5282	2
2	5282
5425	2
2	5425
5887	2
2	5887
5970	2
2	5970
6126	2
2	6126
6191	2
2	6191
6275	2
2	6275
7045	2
2	7045
7246	2
2	7246
426	3
3	426
1185	3
3	1185
1220	3
3	1220
1426	3
3	1426
1803	3
3	1803
5512	3
3	5512
47	4
4	47
1277	4
4	1277
2166	4
4	2166
3658	4
4	3658
3823	4
4	3823
5672	4
4	5672
5829	4
4	5829
198	5
5	198
247	5
5	247
539	5
5	539
632	5
5	632
1193	5
5	1193
1302	5
5	1302
1656	5
5	1656
1958	5
5	1958
2173	5
5	2173
2255	5
5	2255
2431	5
5	2431
2587	5
5	2587
3209	5
5	3209
5667	5
5	5667
5696	5
5	5696
5715	5
5	5715
24	6
6	24
76	6
6	76
116	6
6	116
131	6
6	131
143	6
6	143
163	6
6	163
176	6
6	176
212	6
6	212
276	6
6	276
368	6
6	368
398	6
6	398
399	6
6	399
472	6
6	472
518	6
6	518
584	6
6	584
629	6
6	629
650	6
6	650
656	6
6	656
718	6
6	718
744	6
6	744
789	6
6	789
830	6
6	830
1023	6
6	1023
1033	6
6	1033
1050	6
6	1050
1074	6
6	1074
1105	6
6	1105
1176	6
6	1176
1184	6
6	1184
1207	6
6	1207
1223	6
6	1223
1231	6
6	1231
1281	6
6	1281
1285	6
6	1285
1292	6
6	1292
1360	6
6	1360
1476	6
6	1476
1486	6
6	1486
1490	6
6	1490
1502	6
6	1502
1511	6
6	1511
1515	6
6	1515
1517	6
6	1517
1537	6
6	1537
1577	6
6	1577
1596	6
6	1596
1641	6
6	1641
1653	6
6	1653
1755	6
6	1755
1859	6
6	1859
1892	6
6	1892
1913	6
6	1913
2173	6
6	2173
2193	6
6	2193
2212	6
6	2212
2278	6
6	2278
2308	6
6	2308
2359	6
6	2359
2468	6
6	2468
2544	6
6	2544
2605	6
6	2605
2772	6
6	2772
2837	6
6	2837
2877	6
6	2877
2972	6
6	2972
3110	6
6	3110
3616	6
6	3616
3702	6
6	3702
3767	6
6	3767
3812	6
6	3812
4339	6
6	4339
4532	6
6	4532
4614	6
6	4614
4913	6
6	4913
5560	6
6	5560
5784	6
6	5784
5819	6
6	5819
5856	6
6	5856
5881	6
6	5881
5924	6
6	5924
6097	6
6	6097
6109	6
6	6109
6157	6
6	6157
6306	6
6	6306
6611	6
6	6611
6645	6
6	6645
6732	6
6	6732
6861	6
6	6861
7108	6
6	7108
510	7
7	510
5513	7
